Participant006-3,Participant010-3,Participant015-3,Participant018-3,Participant024-4,Participant026-3,Participant030-3,Participant031-3,Participant032-4,Participant034-3,Participant046-3,Participant056-4,Participant062-3,Participant068-4,Participant072-4,Participant074-4,Participant082-4,Participant085-3,Participant086-4,Participant087-4,Participant091-3,Participant102-4,Participant105-3,Participant109-4,Participant112-4,Participant114-3,Participant116-4,Participant122-4,Participant126-4,Participant128-3,Participant133-4,Participant138-3,Participant146-3,Participant150-4,Participant154-3,Participant155-4,Participant163-3,Participant174-3,Participant181-3,Participant188-4,Participant193-3,Participant196-3,Participant200-4,Participant202-3,Participant204-4,Participant206-4,Participant209-4,Participant219-4,Participant221-4,Participant237-3,Participant238-3

totalSR: 94,totalSR: 57,totalSR: 114,totalSR: 115,totalSR: 130,totalSR: 43,totalSR: 130,totalSR: 103,totalSR: 116,totalSR: 147,totalSR: 139,totalSR: 149,totalSR: 117,totalSR: 102,totalSR: 133,totalSR: 99,totalSR: 84,totalSR: 117,totalSR: 37,totalSR: 133,totalSR: 147,totalSR: 80,totalSR: 92,totalSR: 62,totalSR: 151,totalSR: 145,totalSR: 145,totalSR: 116,totalSR: 165,totalSR: 157,totalSR: 162,totalSR: 143,totalSR: 128,totalSR: 152,totalSR: 130,totalSR: 95,totalSR: 121,totalSR: 23,totalSR: 163,totalSR: 96,totalSR: 125,totalSR: 67,totalSR: 148,totalSR: 124,totalSR: 104,totalSR: 136,totalSR: 155,totalSR: 156,totalSR: 163,totalSR: 170,totalSR: 131
srPhase1: 78,srPhase1: 56,srPhase1: 102,srPhase1: 90,srPhase1: 106,srPhase1: 32,srPhase1: 107,srPhase1: 79,srPhase1: 106,srPhase1: 119,srPhase1: 109,srPhase1: 124,srPhase1: 93,srPhase1: 91,srPhase1: 114,srPhase1: 79,srPhase1: 69,srPhase1: 107,srPhase1: 26,srPhase1: 112,srPhase1: 121,srPhase1: 60,srPhase1: 80,srPhase1: 52,srPhase1: 125,srPhase1: 119,srPhase1: 122,srPhase1: 95,srPhase1: 136,srPhase1: 130,srPhase1: 135,srPhase1: 119,srPhase1: 103,srPhase1: 127,srPhase1: 111,srPhase1: 73,srPhase1: 105,srPhase1: 19,srPhase1: 136,srPhase1: 86,srPhase1: 104,srPhase1: 50,srPhase1: 126,srPhase1: 97,srPhase1: 82,srPhase1: 111,srPhase1: 127,srPhase1: 130,srPhase1: 135,srPhase1: 140,srPhase1: 130
srPhase2: 14,srPhase2: 0,srPhase2: 10,srPhase2: 23,srPhase2: 22,srPhase2: 9,srPhase2: 21,srPhase2: 22,srPhase2: 8,srPhase2: 26,srPhase2: 28,srPhase2: 23,srPhase2: 22,srPhase2: 9,srPhase2: 17,srPhase2: 18,srPhase2: 13,srPhase2: 8,srPhase2: 9,srPhase2: 19,srPhase2: 24,srPhase2: 18,srPhase2: 10,srPhase2: 8,srPhase2: 24,srPhase2: 24,srPhase2: 21,srPhase2: 19,srPhase2: 27,srPhase2: 25,srPhase2: 25,srPhase2: 22,srPhase2: 23,srPhase2: 23,srPhase2: 17,srPhase2: 20,srPhase2: 14,srPhase2: 2,srPhase2: 25,srPhase2: 8,srPhase2: 19,srPhase2: 15,srPhase2: 20,srPhase2: 25,srPhase2: 20,srPhase2: 23,srPhase2: 26,srPhase2: 24,srPhase2: 26,srPhase2: 28,srPhase2: 0
srPhase3: 0,srPhase3: 0,srPhase3: 0,srPhase3: 0,srPhase3: 0,srPhase3: 0,srPhase3: 0,srPhase3: 0,srPhase3: 0,srPhase3: 0,srPhase3: 0,srPhase3: 0,srPhase3: 0,srPhase3: 0,srPhase3: 0,srPhase3: 0,srPhase3: 0,srPhase3: 0,srPhase3: 0,srPhase3: 0,srPhase3: 0,srPhase3: 0,srPhase3: 0,srPhase3: 0,srPhase3: 0,srPhase3: 0,srPhase3: 0,srPhase3: 0,srPhase3: 0,srPhase3: 0,srPhase3: 0,srPhase3: 0,srPhase3: 0,srPhase3: 0,srPhase3: 0,srPhase3: 0,srPhase3: 0,srPhase3: 0,srPhase3: 0,srPhase3: 0,srPhase3: 0,srPhase3: 0,srPhase3: 0,srPhase3: 0,srPhase3: 0,srPhase3: 0,srPhase3: 0,srPhase3: 0,srPhase3: 0,srPhase3: 0,srPhase3: 0

Cut-off?,Cut-off?,Cut-off?,Cut-off?,Cut-off?,Cut-off?,Cut-off?,Cut-off?,Cut-off?,Cut-off?,Cut-off?,Cut-off?,Cut-off?,Cut-off?,Cut-off?,Cut-off?,Cut-off?,Cut-off?,Cut-off?,Cut-off?,Cut-off?,Cut-off?,Cut-off?,Cut-off?,Cut-off?,Cut-off?,Cut-off?,Cut-off?,Cut-off?,Cut-off?,Cut-off?,Cut-off?,Cut-off?,Cut-off?,Cut-off?,Cut-off?,Cut-off?,Cut-off?,Cut-off?,Cut-off?,Cut-off?,Cut-off?,Cut-off?,Cut-off?,Cut-off?,Cut-off?,Cut-off?,Cut-off?,Cut-off?,Cut-off?,Cut-off?
True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,False,True,True,True,True,True,True

Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response
Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1
1.0,14.0,32.0,43.0,22.0,7.0,14.0,17.0,159.0,77.0,21.0,135.0,28.0,35.0,128.0,30.0,86.0,149.0,41.0,101.0,93.0,14.0,22.0,13.0,152.0,185.0,1.0,28.0,142.0,210.0,207.0,120.0,44.0,63.0,63.0,1.0,63.0,12.0,244.0,79.0,75.0,13.0,134.0,30.0,26.0,60.0,129.0,162.0,206.0,241.0,37.0
0.0,17.0,50.0,57.0,195.0,7.0,124.0,18.0,102.0,100.0,128.0,213.0,37.0,74.0,177.0,24.0,27.0,184.0,19.0,138.0,232.0,18.0,0.0,2.0,281.0,201.0,0.0,29.0,263.0,181.0,203.0,160.0,44.0,215.0,67.0,2.0,91.0,0.0,236.0,71.0,111.0,18.0,162.0,39.0,30.0,77.0,233.0,174.0,278.0,250.0,80.0
0.0,27.0,152.0,49.0,260.0,20.0,113.0,44.0,183.0,138.0,169.0,173.0,45.0,60.0,100.0,30.0,22.0,171.0,29.0,188.0,207.0,21.0,171.0,3.0,130.0,64.0,14.0,45.0,249.0,220.0,194.0,151.0,93.0,319.0,110.0,9.0,148.0,6.0,186.0,47.0,77.0,53.0,187.0,46.0,29.0,75.0,215.0,177.0,109.0,185.0,182.0
0.0,27.0,109.0,17.0,104.0,14.0,155.0,34.0,131.0,140.0,156.0,50.0,49.0,104.0,168.0,25.0,30.0,0.0,16.0,123.0,0.0,19.0,181.0,34.0,0.0,0.0,122.0,47.0,0.0,0.0,38.0,31.0,286.0,54.0,97.0,29.0,138.0,5.0,0.0,38.0,58.0,24.0,59.0,51.0,25.0,63.0,0.0,111.0,0.0,0.0,222.0
0.0,16.0,167.0,0.0,0.0,13.0,129.0,39.0,0.0,102.0,76.0,0.0,42.0,43.0,15.0,27.0,26.0,0.0,9.0,0.0,0.0,23.0,136.0,46.0,0.0,0.0,168.0,44.0,0.0,0.0,0.0,0.0,104.0,0.0,94.0,78.0,108.0,4.0,0.0,44.0,82.0,13.0,0.0,51.0,36.0,96.0,0.0,0.0,0.0,0.0,132.0
Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2
0.0,0.0,0.0,0.0,0.0,14.0,0.0,10.0,0.0,0.0,0.0,0.0,25.0,41.0,0.0,27.0,20.0,0.0,22.0,0.0,0.0,26.0,19.0,20.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,7.0,0.0,38.0,66.0,7.0,0.0,27.0,10.0,18.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,4.0,0.0,23.0,0.0,0.0,0.0,0.0,9.0,10.0,0.0,18.0,27.0,0.0,19.0,0.0,0.0,5.0,0.0,20.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,24.0,0.0,7.0,0.0,15.0,0.0,17.0,0.0,9.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,4.0,0.0,18.0,0.0,7.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,26.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,2.0,0.0,19.0,0.0,0.0,2.0,0.0,19.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,6.0,0.0,11.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,2.0,0.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,5.0,0.0,21.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,15.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,15.0,0.0,0.0,6.0,0.0,4.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,3.0,0.0,0.0,0.0,7.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,12.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,14.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0

Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response
Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1
0.0,7.0,24.0,0.0,62.0,6.0,11.0,5.0,8.0,3.0,7.0,16.0,24.0,13.0,0.0,2.0,40.0,66.0,12.0,25.0,30.0,2.0,16.0,12.0,130.0,46.0,0.0,4.0,18.0,5.0,0.0,0.0,4.0,26.0,20.0,0.0,35.0,5.0,0.0,20.0,11.0,12.0,30.0,10.0,0.0,17.0,23.0,0.0,0.0,0.0,1.0
0.0,17.0,39.0,0.0,10.0,5.0,0.0,2.0,0.0,10.0,16.0,0.0,4.0,4.0,0.0,6.0,4.0,64.0,9.0,44.0,0.0,1.0,9.0,0.0,0.0,45.0,0.0,9.0,0.0,54.0,0.0,8.0,36.0,16.0,4.0,3.0,11.0,0.0,0.0,0.0,0.0,22.0,5.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,2.0,22.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,5.0,0.0,4.0,0.0,15.0,14.0,0.0,0.0,18.0,5.0,0.0,55.0,3.0,0.0,0.0,0.0,0.0,10.0,12.0,0.0,0.0,5.0,26.0,2.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0
0.0,1.0,29.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,12.0,0.0,0.0,0.0,0.0,16.0,27.0,0.0,2.0,0.0,1.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,0.0,0.0,0.0,0.0,8.0,6.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,9.0,0.0,3.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2
0.0,0.0,0.0,0.0,0.0,3.0,0.0,27.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,10.0,0.0,0.0,20.0,0.0,0.0,11.0,0.0,14.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,2.0,0.0,0.0,1.0,6.0,0.0,29.0,9.0,40.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,19.0,0.0,46.0,0.0,0.0,0.0,0.0,69.0,0.0,0.0,22.0,0.0,0.0,17.0,0.0,0.0,26.0,0.0,20.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,44.0,0.0,1.0,0.0,0.0,0.0,27.0,0.0,56.0,21.0,25.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,6.0,0.0,102.0,0.0,0.0,0.0,0.0,26.0,37.0,0.0,29.0,21.0,0.0,0.0,0.0,0.0,26.0,0.0,1.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,1.0,0.0,44.0,0.0,32.0,0.0,49.0,10.0,18.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,33.0,0.0,104.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,48.0,21.0,0.0,19.0,0.0,0.0,13.0,0.0,15.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,42.0,0.0,2.0,0.0,53.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,19.0,0.0,8.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,5.0,0.0,7.0,0.0,2.0,0.0,55.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0
Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,1.0,0.0,8.0,0.0,0.0,23.0,0.0,23.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,10.0,0.0,11.0,0.0,15.0,0.0,47.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,18.0,0.0,0.0,77.0,0.0,8.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,12.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,0.0,0.0,16.0,0.0,0.0,118.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,13.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,13.0,0.0,0.0,122.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0

Response on Left workplace,Response on Left workplace,Response on Left workplace,Response on Left workplace,Response on Left workplace,Response on Left workplace,Response on Left workplace,Response on Left workplace,Response on Left workplace,Response on Left workplace,Response on Left workplace,Response on Left workplace,Response on Left workplace,Response on Left workplace,Response on Left workplace,Response on Left workplace,Response on Left workplace,Response on Left workplace,Response on Left workplace,Response on Left workplace,Response on Left workplace,Response on Left workplace,Response on Left workplace,Response on Left workplace,Response on Left workplace,Response on Left workplace,Response on Left workplace,Response on Left workplace,Response on Left workplace,Response on Left workplace,Response on Left workplace,Response on Left workplace,Response on Left workplace,Response on Left workplace,Response on Left workplace,Response on Left workplace,Response on Left workplace,Response on Left workplace,Response on Left workplace,Response on Left workplace,Response on Left workplace,Response on Left workplace,Response on Left workplace,Response on Left workplace,Response on Left workplace,Response on Left workplace,Response on Left workplace,Response on Left workplace,Response on Left workplace,Response on Left workplace,Response on Left workplace
