Participant011-6,Participant020-5,Participant022-6,Participant037-5,Participant044-6,Participant045-6,Participant048-6,Participant049-6,Participant051-6,Participant055-6,Participant058-5,Participant063-6,Participant075-6,Participant079-5,Participant080-6,Participant081-5,Participant088-6,Participant089-6,Participant093-6,Participant096-6,Participant098-5,Participant099-6,Participant101-6,Participant103-5,Participant106-5,Participant113-5,Participant117-5,Participant125-6,Participant127-5,Participant132-5,Participant135-6,Participant141-5,Participant143-5,Participant144-6,Participant145-6,Participant149-5,Participant151-5,Participant153-5,Participant164-5,Participant165-5,Participant169-6,Participant171-6,Participant172-6,Participant176-5,Participant177-5,Participant178-6,Participant180-6,Participant187-6,Participant190-5,Participant194-6
Response on Left workplace,Response on Left workplace,Response on Left workplace,Response on Left workplace,Response on Left workplace,Response on Left workplace,Response on Left workplace,Response on Left workplace,Response on Left workplace,Response on Left workplace,Response on Left workplace,Response on Left workplace,Response on Left workplace,Response on Left workplace,Response on Left workplace,Response on Left workplace,Response on Left workplace,Response on Left workplace,Response on Left workplace,Response on Left workplace,Response on Left workplace,Response on Left workplace,Response on Left workplace,Response on Left workplace,Response on Left workplace,Response on Left workplace,Response on Left workplace,Response on Left workplace,Response on Left workplace,Response on Left workplace,Response on Left workplace,Response on Left workplace,Response on Left workplace,Response on Left workplace,Response on Left workplace,Response on Left workplace,Response on Left workplace,Response on Left workplace,Response on Left workplace,Response on Left workplace,Response on Left workplace,Response on Left workplace,Response on Left workplace,Response on Left workplace,Response on Left workplace,Response on Left workplace,Response on Left workplace,Response on Left workplace,Response on Left workplace,Response on Left workplace
Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1
0.0,127.0,10.0,1.0,0.0,3.0,1.0,0.0,3.0,6.0,1.0,1.0,0.0,12.0,1.0,16.0,4.0,4.0,1.0,6.0,21.0,2.0,4.0,3.0,2.0,15.0,0.0,0.0,18.0,12.0,2.0,4.0,6.0,3.0,0.0,37.0,7.0,3.0,0.0,1.0,1.0,13.0,0.0,12.0,9.0,0.0,7.0,1.0,0.0,1.0
0.0,172.0,7.0,2.0,0.0,7.0,6.0,1.0,1.0,0.0,0.0,2.0,1.0,6.0,1.0,32.0,5.0,0.0,3.0,7.0,22.0,3.0,0.0,6.0,3.0,12.0,2.0,0.0,23.0,13.0,3.0,16.0,8.0,5.0,0.0,57.0,18.0,5.0,1.0,0.0,5.0,14.0,0.0,7.0,8.0,0.0,1.0,8.0,0.0,0.0
0.0,139.0,1.0,5.0,4.0,1.0,3.0,1.0,2.0,0.0,4.0,1.0,0.0,10.0,1.0,10.0,1.0,0.0,4.0,0.0,27.0,2.0,1.0,3.0,6.0,8.0,16.0,0.0,27.0,12.0,3.0,3.0,5.0,2.0,0.0,53.0,2.0,4.0,0.0,5.0,2.0,12.0,0.0,7.0,19.0,3.0,0.0,0.0,0.0,0.0
0.0,0.0,3.0,21.0,3.0,1.0,0.0,0.0,1.0,0.0,5.0,3.0,0.0,12.0,1.0,9.0,1.0,0.0,1.0,0.0,24.0,0.0,0.0,3.0,5.0,4.0,4.0,0.0,6.0,11.0,7.0,22.0,11.0,0.0,0.0,39.0,1.0,0.0,0.0,4.0,1.0,29.0,1.0,6.0,29.0,0.0,0.0,4.0,1.0,0.0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,0.0,0.0,14.0,0.0,8.0,6.0,0.0,0.0,0.0,8.0,0.0,0.0,2.0,3.0,5.0,52.0,0.0,13.0,8.0,1.0,19.0,8.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,30.0,0.0,3.0,23.0,6.0,0.0,6.0,0.0,1.0
Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2
0.0,0.0,0.0,0.0,28.0,2.0,0.0,0.0,0.0,0.0,9.0,32.0,0.0,3.0,1.0,9.0,4.0,1.0,6.0,0.0,6.0,1.0,0.0,4.0,3.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,7.0,0.0,10.0,0.0,1.0,0.0,0.0,4.0
0.0,0.0,0.0,0.0,32.0,3.0,0.0,2.0,4.0,0.0,0.0,27.0,0.0,0.0,2.0,5.0,3.0,7.0,4.0,0.0,0.0,5.0,0.0,2.0,7.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0
0.0,0.0,0.0,0.0,12.0,7.0,0.0,3.0,7.0,0.0,0.0,0.0,4.0,0.0,2.0,2.0,0.0,4.0,0.0,0.0,0.0,7.0,0.0,0.0,9.0,4.0,0.0,16.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,1.0,0.0,0.0,10.0
0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,10.0,0.0,0.0,0.0,4.0,0.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,9.0
0.0,0.0,0.0,0.0,1.0,1.0,0.0,5.0,6.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,8.0
Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3
0.0,0.0,0.0,5.0,0.0,2.0,0.0,6.0,7.0,0.0,0.0,0.0,5.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0
0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,5.0
0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0

Response on Right workplace,Response on Right workplace,Response on Right workplace,Response on Right workplace,Response on Right workplace,Response on Right workplace,Response on Right workplace,Response on Right workplace,Response on Right workplace,Response on Right workplace,Response on Right workplace,Response on Right workplace,Response on Right workplace,Response on Right workplace,Response on Right workplace,Response on Right workplace,Response on Right workplace,Response on Right workplace,Response on Right workplace,Response on Right workplace,Response on Right workplace,Response on Right workplace,Response on Right workplace,Response on Right workplace,Response on Right workplace,Response on Right workplace,Response on Right workplace,Response on Right workplace,Response on Right workplace,Response on Right workplace,Response on Right workplace,Response on Right workplace,Response on Right workplace,Response on Right workplace,Response on Right workplace,Response on Right workplace,Response on Right workplace,Response on Right workplace,Response on Right workplace,Response on Right workplace,Response on Right workplace,Response on Right workplace,Response on Right workplace,Response on Right workplace,Response on Right workplace,Response on Right workplace,Response on Right workplace,Response on Right workplace,Response on Right workplace,Response on Right workplace
Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1
0.0,19.0,0.0,0.0,18.0,12.0,19.0,2.0,3.0,29.0,2.0,2.0,5.0,23.0,4.0,5.0,1.0,8.0,7.0,42.0,6.0,3.0,6.0,0.0,0.0,15.0,2.0,3.0,8.0,5.0,13.0,4.0,1.0,7.0,0.0,1.0,11.0,3.0,0.0,6.0,7.0,25.0,67.0,11.0,1.0,6.0,15.0,5.0,1.0,4.0
0.0,0.0,23.0,0.0,0.0,20.0,17.0,2.0,0.0,59.0,2.0,2.0,0.0,5.0,0.0,7.0,1.0,23.0,30.0,35.0,2.0,4.0,21.0,1.0,0.0,0.0,4.0,10.0,33.0,2.0,3.0,28.0,1.0,11.0,0.0,0.0,0.0,2.0,0.0,8.0,10.0,44.0,60.0,13.0,17.0,24.0,3.0,11.0,1.0,2.0
0.0,0.0,16.0,1.0,11.0,16.0,14.0,0.0,2.0,53.0,3.0,6.0,2.0,4.0,0.0,1.0,3.0,4.0,25.0,32.0,4.0,9.0,10.0,0.0,1.0,4.0,8.0,22.0,36.0,2.0,16.0,28.0,0.0,12.0,0.0,9.0,7.0,0.0,0.0,0.0,9.0,24.0,73.0,5.0,11.0,26.0,2.0,31.0,1.0,1.0
0.0,0.0,13.0,0.0,6.0,2.0,11.0,2.0,1.0,33.0,3.0,14.0,0.0,32.0,1.0,0.0,3.0,15.0,6.0,36.0,6.0,5.0,19.0,0.0,2.0,6.0,38.0,22.0,29.0,9.0,8.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,14.0,73.0,24.0,0.0,11.0,2.0,15.0,0.0,2.0
0.0,0.0,4.0,0.0,13.0,1.0,17.0,3.0,2.0,0.0,1.0,25.0,3.0,5.0,0.0,0.0,1.0,25.0,5.0,0.0,6.0,2.0,0.0,0.0,2.0,2.0,31.0,16.0,14.0,1.0,27.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,40.0,9.0,0.0,26.0,2.0,29.0,2.0,6.0
Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2
0.0,0.0,0.0,0.0,20.0,2.0,7.0,3.0,10.0,0.0,11.0,0.0,1.0,2.0,0.0,0.0,2.0,13.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,23.0,13.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,50.0,1.0,6.0,0.0,1.0
0.0,0.0,0.0,0.0,13.0,1.0,2.0,1.0,0.0,0.0,20.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,0.0,5.0,19.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,57.0,0.0,2.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,6.0,1.0,14.0,46.0,0.0,2.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,1.0,58.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3
0.0,0.0,0.0,13.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0
0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.0,0.0,0.0,3.0,0.0,23.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0

Response on Bar point,Response on Bar point,Response on Bar point,Response on Bar point,Response on Bar point,Response on Bar point,Response on Bar point,Response on Bar point,Response on Bar point,Response on Bar point,Response on Bar point,Response on Bar point,Response on Bar point,Response on Bar point,Response on Bar point,Response on Bar point,Response on Bar point,Response on Bar point,Response on Bar point,Response on Bar point,Response on Bar point,Response on Bar point,Response on Bar point,Response on Bar point,Response on Bar point,Response on Bar point,Response on Bar point,Response on Bar point,Response on Bar point,Response on Bar point,Response on Bar point,Response on Bar point,Response on Bar point,Response on Bar point,Response on Bar point,Response on Bar point,Response on Bar point,Response on Bar point,Response on Bar point,Response on Bar point,Response on Bar point,Response on Bar point,Response on Bar point,Response on Bar point,Response on Bar point,Response on Bar point,Response on Bar point,Response on Bar point,Response on Bar point,Response on Bar point
Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
